"","CPU","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice","Score","Quartile"
"518","Intel Core i5-2310 @ 2.90GHz",2011-06-30,47.59,2011-06-30,47.59,3640,"First Quartile"
"519","AMD FX-6300 Six-Core",2012-12-31,48.88,2012-12-31,48.88,4206,"First Quartile"
"520","AMD A8-6500B APU",2014-06-30,49.95,2014-06-30,49.95,2855,"First Quartile"
"521","AMD Athlon X4 840",2015-03-31,124.95,2015-03-31,124.95,3319,"Second Quartile"
"522","AMD FX-4300 Quad-Core",2013-02-21,119.99,2022-05-20,22,2995,"Second Quartile"
"523","AMD A8-9600",2017-08-27,69.99,2022-09-21,127,3299,"First Quartile"
"524","Intel Core i5-2500T @ 2.30GHz",2011-06-30,89.99,2011-06-30,89.99,2929,"Second Quartile"
"525","AMD A8-7670K",2015-10-21,109.99,2021-12-03,87.73,3192,"Second Quartile"
"526","AMD A4-7300 APU",2014-09-30,18.47,2014-09-30,18.47,1528,"First Quartile"
"527","Intel Core i7-965 @ 3.20GHz",2008-11-17,999,2023-02-28,85.28,3424,"Third Quartile"
"528","Intel Core i5-2400S @ 2.50GHz",2011-03-16,202.99,2022-04-03,144.19,3162,"Third Quartile"
"529","AMD A10-9700E",2018-01-17,159.98,2023-02-18,89.2,3180,"Second Quartile"
"530","AMD FX-8320 Eight-Core",2012-10-27,179.99,2022-04-24,96.47,5452,"Second Quartile"
"531","AMD A8-6500 APU",2013-08-06,118.99,2023-02-20,28.37,2809,"Second Quartile"
"532","Intel Core i7-970 @ 3.20GHz",2010-10-15,879.99,2023-04-16,86,6553,"Third Quartile"
"533","AMD FX-8370E Eight-Core",2014-10-11,194.99,2018-08-30,163.7,5310,"Third Quartile"
"534","AMD FX-4170 Quad-Core",2012-03-12,139.99,2022-07-06,39,3034,"Second Quartile"
"535","Intel Pentium G3220T @ 2.60GHz",2016-01-21,39.99,2023-03-08,40.31,1600,"First Quartile"
"536","AMD A10-7800 APU",2014-10-28,159.99,2022-02-15,53.17,3202,"Third Quartile"
"537","Intel Pentium G870 @ 3.10GHz",2012-09-30,77,2012-09-30,77,1516,"First Quartile"
"538","Intel Core i7-960 @ 3.20GHz",2010-10-15,579.99,2021-10-20,134.48,3333,"Third Quartile"
"539","AMD Phenom II X6 1090T",2010-09-16,279.99,2022-05-01,87.57,3756,"Third Quartile"
"540","Intel Core i5-661 @ 3.33GHz",2010-07-08,209.99,2023-03-23,200.19,2459,"Third Quartile"
"541","Intel Celeron G1620 @ 2.70GHz",2013-02-07,59.99,2023-05-09,98,1560,"First Quartile"
"542","Intel Core2 Extreme X9775 @ 3.20GHz",2009-03-31,805.95,2009-03-31,805.95,2780,"Third Quartile"
"543","AMD A8-7600 APU",2014-11-14,94.99,2023-04-25,23.05,3219,"Second Quartile"
"544","Intel Core i5-655K @ 3.20GHz",2018-07-06,59.99,2022-03-14,77.99,2017,"First Quartile"
"545","AMD A6-6400K APU",2013-09-26,74.99,2022-04-24,19.81,1494,"First Quartile"
"546","AMD PRO A10-9700E",2016-09-30,139,2016-09-30,139,3053,"Second Quartile"
"547","Intel Pentium G2030T @ 2.60GHz",2014-03-31,130.5,2014-03-31,130.5,1581,"Second Quartile"
"548","Intel Core i5-2405S @ 2.50GHz",2011-07-13,219.99,2022-04-16,132.56,3157,"Third Quartile"
"549","AMD FX-8150 Eight-Core",2011-11-27,269.99,2023-04-23,37.1,5260,"Third Quartile"
"550","AMD FX-8320E Eight-Core",2014-11-21,119.99,2022-12-06,132,5087,"Second Quartile"
"551","AMD A6-7400K APU",2014-12-27,64.99,2022-08-17,49.99,1623,"Second Quartile"
"552","AMD A10-7700K APU",2014-07-04,159.99,2023-04-04,55.3,3197,"Third Quartile"
"553","Intel Core i5-2300 @ 2.80GHz",2011-01-10,184.99,2022-04-21,40.26,3420,"Third Quartile"
"554","Intel Core i3-2105 @ 3.10GHz",2011-07-02,139.99,2022-04-16,113,1851,"Second Quartile"
"555","AMD A8-5600K APU",2012-10-10,109.99,2021-07-23,175,2846,"Second Quartile"
"556","AMD A10-5700 APU",2012-12-15,124.99,2019-01-12,64.5,2733,"Second Quartile"
"557","AMD FX-B4150 Quad-Core",2013-03-31,89.68,2013-03-31,89.68,3369,"Second Quartile"
"558","Intel Core i7-880 @ 3.07GHz",2010-09-30,69.99,2010-09-30,69.99,3325,"First Quartile"
"559","AMD PRO A4-8350B",2016-03-31,28.99,2016-03-31,28.99,1635,"First Quartile"
"560","Intel Core i5-660 @ 3.33GHz",2010-07-04,207.99,2023-01-22,22.99,2382,"Third Quartile"
"561","Intel Core i3-2100 @ 3.10GHz",2011-05-25,124.99,2022-01-05,29.45,1847,"Second Quartile"
"562","AMD FX-8310 Eight-Core",2014-12-31,831.15,2014-12-31,831.15,5128,"Third Quartile"
"563","AMD FX-6200 Six-Core",2012-05-16,159.99,2023-03-08,36.03,4105,"Second Quartile"
"564","AMD FX-6120 Six-Core",2012-06-30,58.02,2012-06-30,58.02,3887,"First Quartile"
"565","AMD A4-6300 APU",2013-11-07,59.99,2022-01-20,27.49,1432,"First Quartile"
"566","AMD A8-7650K",2016-04-03,96.69,2023-02-18,38.09,3123,"Second Quartile"
"567","Intel Core i3-2102 @ 3.10GHz",2016-03-31,58,2016-03-31,58,2029,"First Quartile"
"568","Intel Core2 Duo E8600 @ 3.33GHz",2010-07-04,289.99,2021-06-10,38.99,1370,"Third Quartile"
"569","AMD A6-5400B APU",2013-12-31,28.94,2013-12-31,28.94,1451,"First Quartile"
"570","Intel Pentium G860 @ 3.00GHz",2011-12-15,99.99,2023-03-10,22.7,1470,"Second Quartile"
"571","AMD Athlon II X3 460",2011-08-25,89.99,2022-01-23,29.99,2008,"Second Quartile"
"572","Intel Core2 Extreme X9770 @ 3.20GHz",2008-12-31,608.95,2008-12-31,608.95,2689,"Third Quartile"
"573","Intel Celeron G1820T @ 2.40GHz",2014-03-31,42,2014-03-31,42,1631,"First Quartile"
"574","Intel Core i7-870 @ 2.93GHz",2010-09-26,279.99,2023-03-08,51.17,3120,"Third Quartile"
"575","AMD Phenom II X6 1075T",2011-01-03,239.99,2023-01-13,62.99,3413,"Third Quartile"
"576","Intel Core i7-950 @ 3.07GHz",2010-09-01,299.99,2021-05-26,270,3209,"Third Quartile"
"577","Intel Celeron G1610 @ 2.60GHz",2013-02-07,49.99,2023-03-25,7.19,1517,"First Quartile"
"578","AMD Phenom II X2 565",2011-02-13,109.99,2018-04-28,121.59,1442,"Second Quartile"
"579","AMD A4-6300B APU",2013-12-31,27.95,2013-12-31,27.95,1328,"First Quartile"
"580","Intel Core i3-560 @ 3.33GHz",2010-09-25,149.99,2021-05-13,38.76,1706,"Third Quartile"
"581","Intel Core i5-650 @ 3.20GHz",2010-11-12,164.99,2023-05-26,221.45,2239,"Third Quartile"
"582","AMD Phenom II X4 965",2010-08-20,165.99,2018-12-23,58,2618,"Third Quartile"
"583","AMD Phenom II X6 1065T",2021-06-03,159,2023-05-08,69.17,3384,"First Quartile"
"584","AMD Athlon X4 740 Quad Core",2013-11-06,74.99,2023-05-22,10,2632,"First Quartile"
"585","Intel Pentium G850 @ 2.90GHz",2011-07-28,97.99,2022-01-06,101.98,1433,"Second Quartile"
"586","AMD Athlon II X2 270",2011-10-08,69.99,2022-06-04,15.3,1289,"First Quartile"
"587","AMD Athlon II X2 265",2011-04-13,77.99,2021-09-06,15.5,1265,"First Quartile"
"588","AMD Athlon II X2 B28",2012-09-30,39.02,2012-09-30,39.02,1269,"First Quartile"
"589","AMD A6-9500E",2018-10-13,59.99,2023-01-03,57.91,1756,"First Quartile"
"590","Intel Core i7-875K @ 2.93GHz",2016-07-01,580,2023-05-26,380,3118,"Third Quartile"
"591","Intel Core i3-550 @ 3.20GHz",2010-10-21,129.99,2022-06-08,17.91,1610,"Second Quartile"
"592","AMD A4-5300 APU",2012-11-19,54.99,2017-05-04,43.39,1364,"First Quartile"
"593","AMD FX-8120 Eight-Core",2011-12-29,209.99,2023-03-24,30.74,4645,"Third Quartile"
"594","AMD FX-4130 Quad-Core",2013-01-11,109.99,2021-12-16,22.25,2684,"Second Quartile"
"595","Intel Celeron G1620T @ 2.40GHz",2014-03-31,42,2014-03-31,42,1541,"First Quartile"
"596","AMD A8-5500 APU",2012-12-06,105.99,2019-01-03,56.99,2596,"Second Quartile"
"597","AMD Athlon II X3 455",2011-03-04,89.99,2022-07-08,25.76,1863,"Second Quartile"
"598","Intel Pentium G645 @ 2.90GHz",2013-02-07,67.99,2022-11-23,133.82,1388,"First Quartile"
"599","AMD Phenom II X6 1055T",2010-10-06,195.99,2021-05-13,58,3313,"Third Quartile"
"600","Intel Core i7-860 @ 2.80GHz",2010-08-26,283,2018-01-26,99,2987,"Third Quartile"
"601","AMD A8-5500B APU",2013-03-31,49.04,2013-03-31,49.04,2608,"First Quartile"
"602","Intel Core2 Duo E8500 @ 3.16GHz",2008-12-31,41.69,2008-12-31,41.69,1259,"Second Quartile"
"603","AMD Phenom II X4 B97",2010-09-30,79.95,2010-09-30,79.95,2539,"Second Quartile"
"604","AMD FX-6100 Six-Core",2011-12-25,149.99,2022-05-25,59,3681,"Third Quartile"
"605","AMD Phenom II X2 555",2010-09-02,88.99,2022-06-08,13.18,1301,"Second Quartile"
"606","Intel Core i7-940 @ 2.93GHz",2008-11-17,562,2023-01-04,51.85,2947,"Third Quartile"
"607","AMD Phenom II X4 960T",2011-12-28,109.99,2022-01-23,28.88,2344,"Second Quartile"
"608","Intel Pentium E6700 @ 3.20GHz",2014-11-14,59.95,2023-03-08,29,1169,"First Quartile"
"609","Intel Pentium G640 @ 2.80GHz",2012-09-18,71.99,2023-04-27,38.85,1355,"First Quartile"
"610","Intel Pentium E6800 @ 3.33GHz",2010-12-31,24.95,2010-12-31,24.95,1164,"First Quartile"
"611","AMD FX-4200 Quad-Core",2013-12-31,59.95,2013-12-31,59.95,3109,"First Quartile"
"612","AMD Sempron 240",2018-12-31,36.1,2018-12-31,36.1,1278,"First Quartile"
"613","AMD Phenom II X4 840",2011-05-04,104.99,2021-12-01,24.49,2398,"Second Quartile"
"614","Intel Pentium G2020T @ 2.50GHz",2013-03-31,47.6,2013-03-31,47.6,1430,"First Quartile"
"615","AMD Athlon II X3 450",2010-12-28,79.99,2022-04-29,34.01,1822,"Second Quartile"
"616","AMD Athlon X2 340 Dual Core",2013-07-29,44.99,2021-05-13,94.99,1307,"First Quartile"
"617","AMD Phenom II X4 955",2010-07-04,159.99,2012-09-16,94.99,2508,"Third Quartile"
"618","AMD Athlon X4 830",2018-03-31,202.32,2018-03-31,202.32,2901,"Second Quartile"
"619","Intel Core i5-760 @ 2.80GHz",2010-07-27,209.99,2023-03-08,12.99,2628,"Third Quartile"
"620","AMD A10-6700T APU",2016-05-06,139.99,2018-04-25,139.99,2299,"Second Quartile"
"621","Intel Celeron G555 @ 2.70GHz",2013-03-04,59.99,2023-03-01,52.43,1388,"First Quartile"
"622","AMD FX-4100 Quad-Core",2012-01-13,109.99,2022-03-11,23.99,2610,"Second Quartile"
"623","Intel Core2 Quad Q9650 @ 3.00GHz",2010-07-04,329.99,2023-02-28,53.71,2469,"Third Quartile"
"624","AMD Phenom II X6 1045T",2012-02-09,149.99,2023-05-09,48,3184,"Second Quartile"
"625","Intel Pentium E5800 @ 3.20GHz",2014-12-12,48.99,2022-06-29,92.19,1173,"First Quartile"
"626","AMD Athlon II X3 445",2010-09-02,77.99,2021-06-01,145.9,1823,"Second Quartile"
"627","AMD FX-8140 Eight-Core",2012-03-31,148.86,2012-03-31,148.86,4860,"Second Quartile"
"628","Intel Core i7-930 @ 2.80GHz",2010-09-02,284.99,2023-02-26,15.96,2962,"Third Quartile"
"629","Intel Core i3-540 @ 3.07GHz",2010-08-17,124.99,2023-03-19,23.08,1535,"Second Quartile"
"630","AMD A6-5400K APU",2012-10-12,74.99,2017-12-10,20.99,1262,"First Quartile"
"631","Intel Pentium G840 @ 2.80GHz",2011-07-20,88.99,2021-05-30,49.99,1238,"Second Quartile"
"632","Intel Core2 Extreme X9650 @ 3.00GHz",2008-12-31,859.99,2008-12-31,859.99,2410,"Third Quartile"
"633","Intel Core2 Duo E7600 @ 3.06GHz",2009-06-30,119.95,2009-06-30,119.95,1159,"Third Quartile"
"634","AMD Athlon II X4 645",2010-12-28,118.99,2022-05-12,16.48,2341,"Second Quartile"
"635","AMD Athlon II X2 260",2010-09-22,67.99,2022-01-23,59.99,1167,"First Quartile"
"636","AMD Phenom II X3 B75",2009-09-30,49.95,2009-09-30,49.95,1764,"Second Quartile"
"637","AMD Phenom II X4 B95",2010-03-31,62.02,2010-03-31,62.02,2401,"First Quartile"
"638","Intel Pentium G630 @ 2.70GHz",2012-04-29,74.99,2018-12-27,24.99,1322,"First Quartile"
"639","Intel Pentium E6500 @ 2.93GHz",2015-03-21,47.99,2018-08-29,225,1148,"First Quartile"
"640","AMD A4-5300B APU",2012-12-31,25.95,2012-12-31,25.95,1232,"First Quartile"
"641","Intel Core2 Duo E8400 @ 3.00GHz",2010-07-22,169.5,2019-02-14,157.95,1200,"Third Quartile"
"642","AMD Athlon II X2 255",2010-10-15,62.99,2022-07-13,12.55,1170,"First Quartile"
"643","Intel Celeron G1610T @ 2.30GHz",2013-12-31,14.98,2013-12-31,14.98,1358,"First Quartile"
"644","AMD Phenom II X4 945",2010-09-08,135.99,2023-04-10,35,2378,"Second Quartile"
"645","Intel Core2 Extreme Q6850 @ 3.00GHz",2008-12-31,495.95,2008-12-31,495.95,2304,"Third Quartile"
"646","Intel Core i5-750 @ 2.67GHz",2010-09-22,189.99,2022-03-19,597,2532,"Third Quartile"
"647","AMD Phenom II X6 1035T",2011-07-15,144.99,2011-11-08,129.99,3001,"Second Quartile"
"648","AMD Phenom II X2 550",2010-09-16,83.99,2022-05-04,41.91,1158,"Second Quartile"
"649","Intel Core2 Quad Q9550 @ 2.83GHz",2010-09-14,274.99,2023-03-18,29.8,2339,"Third Quartile"
"650","AMD A4-4020 APU",2014-09-30,105.37,2014-09-30,105.37,1268,"Second Quartile"
"651","Intel Core i7-920 @ 2.67GHz",2010-07-04,294.99,2021-05-13,38.99,2833,"Third Quartile"
"652","Intel Core2 Quad Q9500 @ 2.83GHz",2010-01-17,183,2017-09-10,33.99,2221,"Third Quartile"
"653","AMD A8-3850 APU",2012-02-08,129.99,2021-06-01,129.68,2361,"Second Quartile"
"654","AMD Phenom II X4 940",2010-08-12,132.99,2018-12-28,59.34,2345,"Second Quartile"
"655","AMD Athlon II X4 640",2010-09-16,104.99,2022-04-29,19.99,2236,"Second Quartile"
"656","Intel Celeron G550 @ 2.60GHz",2012-08-09,59.99,2019-01-23,70.45,1250,"First Quartile"
"657","Intel Core2 Duo E7500 @ 2.93GHz",2010-08-31,123.99,2018-06-30,19.99,1133,"Second Quartile"
"658","AMD A8-3870K APU",2012-10-22,109.99,2018-10-18,49.99,2301,"Second Quartile"
"659","AMD Athlon II X2 B24",2010-03-31,24.1,2010-03-31,24.1,1120,"First Quartile"
"660","Intel Pentium Silver J5005 @ 1.50GHz",2017-12-31,521.99,2017-12-31,521.99,3095,"Third Quartile"
"661","AMD Athlon II X2 250e",2011-06-30,76.73,2011-06-30,76.73,1155,"First Quartile"
"662","AMD Phenom II X2 B55",2009-12-31,37.95,2009-12-31,37.95,1183,"Second Quartile"
"663","Intel Pentium E5700 @ 3.00GHz",2011-06-08,66.99,2021-05-30,159,1082,"First Quartile"
"664","AMD Athlon II X3 440",2010-12-02,88.99,2022-04-24,14.76,1712,"Second Quartile"
"665","Intel Pentium E6600 @ 3.06GHz",2017-10-24,14.9,2022-12-21,37.48,1121,"First Quartile"
"666","AMD Athlon II X4 641 Quad-Core",2012-08-09,89.99,2023-03-01,12.17,2313,"First Quartile"
"667","Intel Pentium G620 @ 2.60GHz",2011-08-02,77.99,2023-02-18,11.99,1213,"First Quartile"
"668","AMD Phenom II X2 545",2010-11-23,65.99,2018-07-27,43.98,1222,"First Quartile"
"669","AMD Athlon II X2 245e",2011-03-31,19.97,2011-03-31,19.97,1171,"First Quartile"
"670","Intel Core2 Quad Q9505 @ 2.83GHz",2010-07-04,239.99,2022-08-26,329.99,2132,"Third Quartile"
"671","Intel Core2 Duo E6850 @ 3.00GHz",2016-08-26,65.5,2021-05-30,51.2,1118,"First Quartile"
"672","AMD Athlon II X2 250",2010-10-15,58.99,2021-06-01,69.95,1139,"First Quartile"
"673","Intel Pentium G6951 @ 2.80GHz",2011-03-31,74,2011-03-31,74,1383,"First Quartile"
"674","AMD Athlon II X3 435",2010-07-21,75.99,2021-06-01,69.95,1644,"Second Quartile"
"675","Intel Core i3-530 @ 2.93GHz",2010-10-15,113.99,2023-04-12,115.19,1492,"Second Quartile"
"676","AMD Athlon II X4 638 Quad-Core",2015-06-30,62.85,2015-06-30,62.85,2250,"First Quartile"
"677","Intel Core i3-2120T @ 2.60GHz",2011-12-15,134.99,2021-11-07,164.9,1520,"Second Quartile"
"678","AMD Athlon II X4 635",2010-08-12,99,2022-01-20,21.97,2206,"Second Quartile"
"679","Intel Celeron E3500 @ 2.70GHz",2011-03-13,62.99,2023-05-09,95,935,"First Quartile"
"680","AMD Phenom II X4 925",2010-07-27,135.99,2021-11-12,20.88,2271,"Second Quartile"
"681","AMD A4-4000 APU",2013-06-30,19.95,2013-06-30,19.95,1153,"First Quartile"
"682","Intel Core2 Quad Q8400 @ 2.66GHz",2010-07-04,169.99,2016-08-01,104.9,2073,"Third Quartile"
"683","AMD Athlon II X2 245",2010-11-12,62.99,2021-07-18,12.87,1097,"First Quartile"
"684","Intel Core2 Duo E8200 @ 2.66GHz",2017-10-25,157.95,2021-05-30,94.99,1108,"Second Quartile"
"685","AMD A6-3670 APU",2012-12-06,79.99,2021-06-01,176.59,2165,"First Quartile"
"686","Intel Celeron G540 @ 2.50GHz",2012-02-25,61.99,2018-03-06,20.99,1172,"First Quartile"
"687","Intel Pentium E6300 @ 2.80GHz",2009-06-30,41.85,2009-06-30,41.85,1032,"Second Quartile"
"688","AMD Athlon 64 X2 Dual Core 6400+",2008-12-31,249.95,2008-12-31,249.95,998,"Third Quartile"
"689","Intel Core2 Quad Q9400 @ 2.66GHz",2012-10-21,229.99,2021-11-13,53,2114,"Third Quartile"
"690","AMD FX-8100 Eight-Core",2012-03-31,98.02,2012-03-31,98.02,4046,"First Quartile"
"691","Intel Pentium E5500 @ 2.80GHz",2011-04-07,72.99,2021-05-30,39.99,1033,"First Quartile"
"692","Intel Core2 Quad Q9450 @ 2.66GHz",2008-12-31,35.7,2008-12-31,35.7,2187,"First Quartile"
"693","AMD Phenom II X4 920",2010-09-22,159.99,2018-11-21,44.99,2209,"Third Quartile"
"694","Intel Pentium G645T @ 2.50GHz",2012-03-31,223.84,2012-03-31,223.84,1228,"Third Quartile"
"695","AMD A8-3820 APU",2012-03-31,44.95,2012-03-31,44.95,2174,"First Quartile"
"696","AMD Athlon II X2 B22",2018-10-21,60.09,2019-01-29,43.89,1053,"First Quartile"
"697","Intel Core2 Extreme Q6800 @ 2.93GHz",2008-12-31,125,2008-12-31,125,2145,"Second Quartile"
"698","AMD Athlon II X4 630",2010-09-22,92.99,2022-07-06,29.98,2124,"Second Quartile"
"699","AMD Athlon II X4 631 Quad-Core",2011-12-04,84.99,2022-05-05,9.96,2150,"First Quartile"
"700","AMD Phenom II X4 820",2011-03-09,99.99,2021-05-30,29,2086,"Second Quartile"
"701","AMD Athlon 7850 Dual-Core",2010-07-12,45.99,2011-01-13,48.99,1058,"First Quartile"
"702","AMD Sempron 150",2011-06-30,14.95,2011-06-30,14.95,597,"First Quartile"
"703","Intel Core2 Duo E7400 @ 2.80GHz",2014-11-14,54.99,2018-07-27,157.95,1023,"First Quartile"
"704","AMD A4-3420 APU",2012-03-31,136,2012-03-31,136,1054,"Second Quartile"
"705","AMD A8-6500T APU",2014-03-31,59.95,2014-03-31,59.95,1929,"First Quartile"
"706","Intel Celeron J4005 @ 2.00GHz",2018-03-31,168.75,2018-03-31,168.75,1588,"Second Quartile"
"707","AMD Athlon II X2 235e",2017-12-10,17.99,2021-06-01,97.5,1080,"First Quartile"
"708","Intel Pentium G6950 @ 2.80GHz",2010-09-05,99.99,2022-02-14,12.99,1238,"Second Quartile"
"709","AMD Athlon II X2 210e",2010-12-31,28.49,2010-12-31,28.49,1105,"First Quartile"
"710","AMD Phenom II X3 720",2010-08-03,99,2019-02-13,69.99,1554,"Second Quartile"
"711","Intel Pentium G640T @ 2.40GHz",2012-03-31,92.99,2012-03-31,92.99,1139,"First Quartile"
"712","AMD Athlon II X2 240e",2010-09-16,71.99,2021-06-16,43.54,1002,"First Quartile"
"713","Intel Celeron G530 @ 2.40GHz",2011-12-15,51.99,2022-06-04,29.99,1117,"First Quartile"
"714","Intel Celeron J4105 @ 1.50GHz",2018-03-31,107,2018-03-31,107,2909,"Second Quartile"
"715","AMD Athlon II X2 220",2010-06-30,59.95,2010-06-30,59.95,1030,"First Quartile"
"716","Intel Core i3-2100T @ 2.50GHz",2011-03-26,134.99,2021-09-27,51.71,1488,"Second Quartile"
"717","Intel Pentium E5400 @ 2.70GHz",2014-11-14,38.99,2023-05-26,84.75,971,"First Quartile"
"718","AMD Phenom II X4 910e",2010-06-30,69.9,2010-06-30,69.9,2131,"First Quartile"
"719","AMD Athlon II X3 425",2010-10-15,62.99,2021-06-01,58.34,1561,"First Quartile"
"720","AMD A4-3400 APU",2012-11-08,48.99,2021-06-01,108.5,1081,"First Quartile"
"721","Intel Core2 Quad Q9300 @ 2.50GHz",2010-08-25,229.99,2018-01-03,24.99,1971,"Third Quartile"
"722","Intel Core2 Quad Q6700 @ 2.66GHz",2010-07-24,372.69,2017-08-04,23.49,2099,"Third Quartile"
"723","AMD Athlon II X2 240",2010-10-20,48.99,2018-11-01,15.99,1032,"First Quartile"
"724","Intel Core2 Duo E8300 @ 2.83GHz",2015-08-26,39.99,2018-08-26,19.99,997,"First Quartile"
"725","Intel Core2 Duo E7300 @ 2.66GHz",2017-07-28,21.99,2023-05-21,49.33,963,"First Quartile"
"726","AMD A8-3800 APU",2011-09-30,109.95,2011-09-30,109.95,2015,"Second Quartile"
"727","AMD Phenom II X3 710",2009-03-31,169,2009-03-31,169,1551,"Third Quartile"
"728","AMD Athlon II X4 620",2010-08-25,89,2021-05-26,202.41,2014,"Second Quartile"
"729","Intel Core2 Quad Q8300 @ 2.50GHz",2008-11-30,224,2022-09-27,54.46,1883,"Third Quartile"
"730","Intel Core2 Duo E7200 @ 2.53GHz",2008-04-20,113,2019-02-27,49,996,"Second Quartile"
"731","AMD Athlon II X3 420e",2011-06-30,116.15,2011-06-30,116.15,1557,"Second Quartile"
"732","Intel Pentium G630T @ 2.30GHz",2011-12-31,84.07,2011-12-31,84.07,1090,"First Quartile"
"733","AMD Phenom II X3 B73",2010-09-30,75,2010-09-30,75,1538,"First Quartile"
"734","Intel Core i7-860S @ 2.53GHz",2011-04-14,359.99,2023-04-04,110.99,2166,"Third Quartile"
"735","Intel Core2 Extreme X6800 @ 2.93GHz",2008-12-31,263.64,2008-12-31,263.64,993,"Third Quartile"
"736","Intel Core i5 750S @ 2.40GHz",2016-07-02,290,2023-05-10,180,1326,"Third Quartile"
"737","AMD Sempron 140",2010-07-12,36.99,2011-07-16,39.99,486,"First Quartile"
"738","AMD Athlon 7750 Dual-Core",2009-03-31,79.99,2009-03-31,79.99,978,"Third Quartile"
"739","AMD Athlon II X4 610e",2011-01-09,139.99,2023-02-18,16.69,1964,"Second Quartile"
"740","AMD Athlon II X4 615e",2010-12-31,59,2010-12-31,59,2000,"First Quartile"
"741","Intel Pentium E5300 @ 2.60GHz",2014-11-14,39.99,2021-05-13,33.75,929,"First Quartile"
"742","AMD Athlon 64 X2 Dual Core 6000+",2008-12-31,38.5,2008-12-31,38.5,931,"First Quartile"
"743","AMD A6-3650 APU",2012-04-13,89.99,2021-06-01,172.19,2049,"First Quartile"
"744","AMD Phenom II X4 810",2010-10-15,115.99,2021-06-01,213,1971,"Second Quartile"
"745","Intel Core2 Duo E6750 @ 2.66GHz",2014-11-14,48.99,2018-07-30,12.95,1015,"First Quartile"
"746","AMD Athlon II X2 215",2009-09-30,28.97,2009-09-30,28.97,961,"First Quartile"
"747","AMD Athlon II X3 415e",2010-12-31,75,2010-12-31,75,1441,"First Quartile"
"748","AMD Phenom 9950 Quad-Core",2010-08-05,75.99,2018-12-22,134.99,1884,"Second Quartile"
"749","AMD Athlon 64 X2 Dual Core 5600+",2008-12-31,107.21,2008-12-31,107.21,907,"Second Quartile"
"750","Intel Core2 Duo E6700 @ 2.66GHz",2010-07-04,99.99,2019-02-13,29.99,990,"Second Quartile"
"751","AMD Athlon 64 FX-62 Dual Core",2009-03-31,250,2009-03-31,250,993,"Third Quartile"
"752","AMD Phenom II X4 805",2009-06-30,173.99,2009-06-30,173.99,1959,"Third Quartile"
"753","AMD Phenom II X4 905e",2009-06-30,53.99,2009-06-30,53.99,1936,"Second Quartile"
"754","AMD Athlon 64 X2 Dual Core 5800+",2009-03-31,29.95,2009-03-31,29.95,797,"First Quartile"
"755","AMD Sempron 145",2011-02-17,42.99,2023-05-02,34.92,506,"First Quartile"
"756","AMD Athlon 64 X2 Dual Core 5400+",2008-12-31,52.99,2008-12-31,52.99,907,"Second Quartile"
"757","Intel Pentium E5200 @ 2.50GHz",2016-10-01,99,2023-05-29,77.45,927,"Second Quartile"
"758","Intel Core2 Quad Q8200 @ 2.33GHz",2010-07-04,183.99,2021-05-30,63.99,1777,"Third Quartile"
"759","Intel Celeron E3400 @ 2.60GHz",2010-10-20,54.99,2021-05-30,50.81,854,"First Quartile"
"760","AMD A4-3300 APU",2012-11-02,48.99,2021-06-01,105.75,962,"First Quartile"
"761","AMD Phenom II X4 910",2009-03-31,100,2009-03-31,100,1776,"Third Quartile"
"762","AMD Athlon II X4 605e",2011-01-09,138.99,2023-04-20,14.2,1963,"Second Quartile"
"763","AMD A6-3620 APU",2012-03-31,22.49,2012-03-31,22.49,1851,"First Quartile"
"764","Intel Core2 Duo E4700 @ 2.60GHz",2008-12-31,26.99,2008-12-31,26.99,862,"First Quartile"
"765","AMD Athlon II X3 405e",2010-03-31,112.9,2010-03-31,112.9,1331,"Second Quartile"
"766","AMD Phenom 8600B Triple-Core",2009-06-30,14.95,2009-06-30,14.95,1461,"First Quartile"
"767","Intel Celeron E3200 @ 2.40GHz",2009-09-30,19.99,2009-09-30,19.99,839,"First Quartile"
"768","Intel Celeron E3300 @ 2.50GHz",2010-07-04,51.99,2021-09-02,79,795,"First Quartile"
"769","AMD A6-3500 APU",2012-10-10,69.99,2021-06-01,147,1417,"First Quartile"
"770","AMD E2-3200 APU",2011-12-31,7.99,2011-12-31,7.99,953,"First Quartile"
"771","Intel Celeron G530T @ 2.00GHz",2011-03-31,16.99,2011-03-31,16.99,1056,"First Quartile"
"772","AMD Phenom II X3 705e",2009-09-30,152.34,2009-09-30,152.34,1222,"Third Quartile"
"773","Intel Pentium G620T @ 2.20GHz",2011-07-10,82.99,2021-06-25,19.99,896,"First Quartile"
"774","Intel Core2 Duo E6600 @ 2.40GHz",2014-11-14,66.99,2023-05-02,195.5,939,"Second Quartile"
"775","AMD Phenom 9750 Quad-Core",2010-08-04,179.93,2021-05-30,49.99,1833,"Third Quartile"
"776","AMD Athlon Dual Core 5000B",2009-06-30,95,2009-06-30,95,856,"Third Quartile"
"777","AMD Phenom 9850 Quad-Core",2010-08-27,74.99,2019-01-13,119.99,1722,"First Quartile"
"778","Intel Core2 Duo E4600 @ 2.40GHz",2015-02-08,39.99,2018-08-24,195.95,865,"First Quartile"
"779","AMD Athlon 7550 Dual-Core",2009-06-30,14.95,2009-06-30,14.95,900,"First Quartile"
