"","GPU","Score","G2DScore","G3DScore","ReleaseDate","ReleasePrice","CurrentDate","CurrentPrice","Quantile"
"128","GeForce GTX 560 SE",895,423,1914,2012-11-04,122.99,2013-07-11,89.99,"Second Quantile"
"129","Radeon R7 430",880,386,1104,2019-02-09,148.99,2023-07-30,174.12,"First Quantile"
"130","Radeon HD 5830",874,403,1735,2011-05-15,109.99,2021-05-13,89.99,"Second Quantile"
"131","GeForce GT 740",846,343,1491,2014-07-24,88.99,2021-05-13,259,"First Quantile"
"132","Radeon HD 7750",843,423,1703,2012-06-23,99.99,2024-03-16,129.94,"First Quantile"
"133","GeForce GTX 650",843,360,1750,2012-11-29,118.78,2021-05-13,299,"Second Quantile"
"134","Radeon R7 450",839,531,1938,2018-02-28,49.99,2022-03-30,299,"First Quantile"
"135","Radeon HD 6850",794,434,1972,2011-05-25,166.99,2021-05-13,225,"Second Quantile"
"136","GeForce GTX 460 SE",789,368,2011,2011-03-10,149.99,2012-01-15,159.99,"Second Quantile"
"137","Radeon R9 255",760,394,1457,2017-06-25,316,2019-01-24,347.07,"Second Quantile"
"138","GeForce GTX 550 Ti",722,376,1552,2011-06-13,139.99,2020-03-10,225,"Second Quantile"
"139","Radeon Vega 6",664,343,1312,2019-03-01,2999.99,2019-09-19,2998.88,"Third Quantile"
"140","Radeon HD 5770",662,333,1343,2011-05-22,119.99,2020-03-15,369.22,"Second Quantile"
"141","GeForce GT 240",638,52,511,2011-05-27,70.37,2021-05-13,195,"First Quantile"
"142","GeForce GT 640",633,291,1176,2012-08-09,107,2021-07-03,363,"First Quantile"
"143","Radeon HD 6770",632,313,1250,2011-11-14,109.99,2021-11-20,99.99,"Second Quantile"
"144","GeForce GTS 450",625,304,1319,2011-05-22,114.99,2021-08-30,199,"Second Quantile"
"145","Radeon HD 7730",620,401,1205,2015-04-10,54.99,2021-06-10,232.69,"First Quantile"
"146","Radeon R7 250",616,287,1068,2014-02-25,97,2021-05-14,119.99,"First Quantile"
"147","Radeon HD 4650",607,30,239,2011-05-25,46.99,2022-03-30,69.99,"First Quantile"
"148","GeForce GT 710",594,212,630,2016-03-20,29.99,2023-03-06,349,"First Quantile"
"149","GeForce GT 720",544,200,611,2014-10-07,47.99,2020-03-13,66.99,"First Quantile"
"150","Radeon HD 5750",530,336,1162,2011-05-25,107.99,2021-05-13,79.99,"First Quantile"
"151","GeForce 210",517,31,113,2011-07-10,34.99,2023-02-10,54.99,"First Quantile"
"152","GeForce GT 730",514,249,834,2014-09-11,56.99,2022-11-20,109.99,"First Quantile"
"153","GeForce GT 545",489,324,1099,2012-08-20,54.99,2013-02-27,55.59,"First Quantile"
"154","Radeon HD 6750",487,272,1046,2011-11-09,84.99,2021-05-13,235,"First Quantile"
"155","Radeon R7 240",487,272,903,2014-01-01,78.05,2021-05-13,188.42,"First Quantile"
"156","Radeon R7 FX-9800P RADEON",463,193,740,2018-03-29,499.99,2018-12-02,530,"Second Quantile"
"157","Radeon R5 330",452,184,521,2016-10-20,576.48,2020-03-10,348.99,"Second Quantile"
"158","Radeon R5 240",448,193,541,2015-12-29,79.99,2021-05-13,85,"First Quantile"
"159","Radeon Vega 3",448,305,889,2019-01-31,649.97,2021-05-25,538.99,"Third Quantile"
"160","Radeon HD 6570",444,218,556,2011-07-14,74.99,2023-02-22,64.99,"First Quantile"
"161","GRID K1",419,259,651,2013-12-16,2775,2019-07-26,954.22,"Third Quantile"
"162","Radeon HD 6670",392,244,731,2011-07-28,79.99,2021-05-13,132,"First Quantile"
"163","Radeon R7 M260",368,120,497,2015-09-16,999,2016-05-24,799,"Third Quantile"
"164","Radeon HD 7670M",367,97,475,2012-12-11,593.99,2013-08-24,599.99,"Third Quantile"
"165","GeForce GT 630",362,214,678,2012-09-08,64.99,2021-05-13,175,"First Quantile"
"166","GeForce GT 440",355,229,771,2011-05-25,79.99,2021-05-25,225,"First Quantile"
"167","Radeon HD 5670",348,287,804,2011-05-25,71.99,2021-12-17,59.99,"First Quantile"
"168","Radeon HD 7570",341,260,617,2020-03-16,51.41,2021-05-13,55.99,"First Quantile"
"169","GeForce GT 530",310,221,664,2012-09-05,58.95,2014-02-12,49,"First Quantile"
"170","GeForce GT 430",297,199,601,2011-05-25,64.99,2021-05-13,175,"First Quantile"
"171","GeForce GT 220",35,44,217,2011-04-26,49.99,2020-03-14,39.99,"First Quantile"
"172","GeForce 8600 GT",33,44,124,2020-03-13,189,2022-03-30,119.99,"First Quantile"
