Name,Link,ReleaseDate,ReleasePrice,CurrentDate,CurrentPrice
Radeon RX 5600 OEM,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5600+OEM&id=4640,,,,
RTX A1000 6GB Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A1000+6GB+Laptop+GPU&id=4804,,,,
GeForce GTX 1650 SUPER,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1650+SUPER&id=4167,28 Dec 19,164.99,26 Mar 24,298.09
GeForce RTX 2070 (Mobile),https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2070+%28Mobile%29&id=4083,,,,
Quadro P2200,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P2200&id=4133,14 Sep 19,475.99,15 Apr 22,577.17
RTX A2000 Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=RTX+A2000+Laptop+GPU&id=4438,,,,
Radeon Pro SSG,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+SSG&id=3985,,,,
Quadro P5200 with Max-Q Design,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P5200+with+Max-Q+Design&id=3996,,,,
GeForce GTX 1060 (Mobile),https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1060+%28Mobile%29&id=4086,,,,
Radeon R9 Fury + Fury X,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+Fury+%2B+Fury+X&id=3245,25 Aug 15,539.99,28 Aug 21,479.99
Quadro P4200 with Max-Q Design,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P4200+with+Max-Q+Design&id=3999,,,,
Radeon RX 5500,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5500&id=4164,,,,
GeForce RTX 3050 Ti Laptop GPU,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+3050+Ti+Laptop+GPU&id=4393,,,,
GeForce GTX 1060,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1060&id=3548,19 Aug 16,249.99,24 Dec 21,578.6
